"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Replace USPS/Main Entrance Lobby roofs,Cheyenne,WY,238160,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,"$2,000.00 ","$25,000.00 ",,,,New Requirement,GSA funded,3/24/15,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Building 25 Resurface Cooling Towers,Lakewood,CO,811310,Small Business,Firm Fixed Price,Purchase Order,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$25,000.00 ","$100,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Joan Amend,joan.amend@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Professional services--support for the rent bill management program,Lakewood,CO,Undetermined,To Be Determined,Firm Fixed Price,Contract modification,,$0.00 ,$0.00 ,,Booz Allen Hamilton,GS-P-08-11-JE-0050,Exercise of Option,GSA funded,,,FY 2015-4th Quarter,Joan Amend,joan.amend@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise final option period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Emergency replacement of variable frequency drive on AHU #1,Cheyenne,WY,238220,HUBZone Small Business,Firm Fixed Price,Purchase Order,Sole Source,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Replace floor tiles in basement,Casper,WY,238330,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,3/12/15,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Sump Pumps in Elevator Pits,Rapid City,SD,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-Quarter To Be Determined,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Rapid City,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$105,994.56 ","$521,549.04 ",,BH Services,GS-08P-12-VL-C-0005,Exercise of Option,GSA funded,7/1/15,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Design Services - Sewer Line Replacement,Sioux Falls,SD,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$50,000.00 ",,N/A,,New Requirement,GSA funded,1/15/15,,FY 2015-2nd Quarter,TBD,TBD,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Aberdeen,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$245,455.96 ","$245,455.96 ",,Aspire Inc,GS-08P-13-VL-C-0020,Exercise of Option,GSA funded,10/1/15,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Rapid City,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$131,584.56 ","$131,584.56 ",,HACI Inc,GS-08P-13-VL-C-0021,Exercise of Option,GSA funded,10/1/15,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Rapid City,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$136,409.44 ","$136,409.44 ",,South Dakota Achieve,GS-08P-13-VL-C-0022,Exercise of Option,GSA funded,11/1/15,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Sewer Line Replacement,Sioux Falls,SD,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,"$250,000.00 ","$500,000.00 ",,N/A,,New Requirement,GSA funded,4/1/15,,FY 2015-3rd Quarter,TBD,TBD,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Replace ACM Stairwell Doors,Sioux Falls,SD,238350,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,Sole Source,"$25,000.00 ","$100,000.00 ",,N/A,GS-08P-14-VL-P-0006,New Requirement,GSA funded,11/1/14,,FY 2015-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Replace Cobra Lights w/ LED,Sioux Falls,SD,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-Quarter To Be Determined,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Paint three witness room walls and door frames,Sioux Falls,SD,238320,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,GS-08P-15-VL-P-0009,New Requirement,Non-GSA funded,2/5/15,,FY 2015-2nd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Repointing Portion of Exteiror of Building,Sioux Falls,SD,238140,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Upgrade BAS,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Purchase ADA Door Handles,Casper,WY,Undetermined,To Be Determined,Firm Fixed Price,GSA Schedule,Competitive Schedule Buy,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,ACM Removal,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Purchase ADA Door Handles,Cheyenne,WY,Undetermined,To Be Determined,Firm Fixed Price,GSA Schedule,Competitive Schedule Buy,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,ACM Flooring Removal,Cheyenne,WY,Undetermined,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Damper Replacements,Cheyenne,WY,238220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Install New Water Meter & Gas Meter,Cheyenne,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Install Heat Curtain,Cheyenne,WY,238220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,3/19/15,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Paint Common Areas,Cheyenne,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,ACM Removal around Hot Water Tank,Cheyenne,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,United States Marshal Service Air Handler Controls Retrofit,Salt Lake City,UT,Undetermined,To Be Determined,,,,$0.00 ,$0.00 ,,,,To Be Determined,To Be Determined,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Window Tinting,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Sprinkler & Vent Hood,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Duct Detector Install,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Repair Plaster,Sioux Falls,SD,238310,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Concrete Sidewalk Repair,Sioux Falls,SD,238110,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Aberdeen,SD,561790,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Huron,SD,561790,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,"$25,000.00 ","$150,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Pierre,SD,561790,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Sioux Falls,SD,561790,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Rapid City,SD,561790,To Be Determined,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,FBI Security Upgrades and external staircase,Glasgow,MT,236220,HUBZone Small Business,Firm Fixed Price,Contract,Set-Aside,"$100,000.00 ","$200,000.00 ",,,,To Be Determined,GSA funded,11/14/15,,FY 2015-3rd Quarter,Monique Brumley,monique.brumley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Garage Door Spring Barrell Repair,Billings,MT,238130,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$25,000.00 ",,QCI,GS-08P-14-VG-P-0080,New Requirement,GSA funded,,N/A,FY 2015-1st Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,VA Office Buildout,Cheyenne,WY,236220,To Be Determined,To Be Determined,To Be Determined,To Be Determined,"$25,000.00 ","$150,000.00 ",,,,New Requirement,To Be Determined,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Replace Broken Window - Billings CH,Billings,MT,238130,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,"TC Glass, Inc.",GS-08P-15-VG-P-0009,New Requirement,GSA funded,,N/A,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 3/13/15
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Snow Removal - Outbldgs & Main Afterhours - Havre BPSHQ,Havre,MT,561790,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,QCI,GS-08P-14-VG-P-0092,New Requirement,Non-GSA funded,,N/A,FY 2015-1st Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 11/6/14.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Modification - Isolation Valves (Chilled),Bozeman,MT,238220,Small Business,Firm Fixed Price,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",$0.00 ,"$10,000.00 ",,Midland Mechanical,GS-08P-14-VG-P-0040,New Requirement,GSA funded,,N/A,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Mod Awarded 3/27/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,Emergency - Replace Failed Hot Water Heater,Havre,MT,238220,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,,,New Requirement,GSA funded,,N/A,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Emergency - Awaiting Pricing.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Emergency - Sewer Backup Repairs & Cleanup,Havre,MT,238220,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$5,000.00 ",,QCI,GS-08P-15-VG-P-0010,New Requirement,GSA funded,,N/A,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 3/25/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Recycling Containers - Multiple Locations (MT),Multiple,MT,424120,HUBZone Small Business,Firm Fixed Price,GSA Schedule Order,Limited Sources FSS Order,$0.00 ,"$10,000.00 ",,,,New Requirement,GSA funded,3/12/15,N/A,FY 2015-3rd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Convert Cooling Tower to Dry Tower,Billings,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Repair/Replace Bike Rack,Billings,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Bird Control,Billings,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Lobby Venetian Wall Repair for New Artwork Placment,Billings,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Phase Protection - Raymond LPOE,Raymond,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Breaker Coordination Study - Raymond LPOE,Raymond,MT,Undetermined,To Be Determined,To Be Determined,To Be Determined,To Be Determined,"$10,000.00 ","$25,000.00 ",,TBD,TBD,New Requirement,GSA funded,TBD,N/A,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
